"year","state_name","class_desc","topic_desc","question_text","response_text","strat_value","strat_group","sample_size","prevalence","conf_low","conf_high","value_type"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","18-24","Age Group",191,39.5,34.1,44.9,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","18-24","Age Group",237,60.5,55.1,65.9,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","25-34","Age Group",493,62.6,58.3,67,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","25-34","Age Group",282,37.4,33,41.8,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","35-44","Age Group",594,60.7,56.7,64.7,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","35-44","Age Group",349,39.3,35.3,43.3,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","45-54","Age Group",615,44.4,40.8,47.9,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","45-54","Age Group",666,55.6,52.1,59.2,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","55-64","Age Group",540,33.5,30.5,36.5,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","55-64","Age Group",1090,66.5,63.5,69.5,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","65+","Age Group",320,16,13.9,18.1,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","65+","Age Group",1633,84,81.9,86.1,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Overall","Overall",2753,43.6,42,45.2,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Overall","Overall",4257,56.4,54.8,58,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Less than H.S.","Education Attained",235,36.2,31.3,41.2,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Less than H.S.","Education Attained",536,63.8,58.8,68.7,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","H.S. or G.E.D.","Education Attained",628,39.5,36.5,42.5,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","H.S. or G.E.D.","Education Attained",1295,60.5,57.5,63.6,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Some post-H.S.","Education Attained",820,48.9,45.9,52,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Some post-H.S.","Education Attained",1005,51.1,48,54.1,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","College graduate","Education Attained",1066,47,44.5,49.5,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","College graduate","Education Attained",1411,53,50.5,55.5,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Less than $15,000","Household Income",353,49.9,45.3,54.6,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Less than $15,000","Household Income",472,50.1,45.5,54.7,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$15,000-$24,999","Household Income",475,46.7,42.7,50.7,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$15,000-$24,999","Household Income",647,53.3,49.3,57.4,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$25,000-$34,999","Household Income",267,46.6,41.5,51.8,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$25,000-$34,999","Household Income",471,53.4,48.2,58.5,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$35,000-$49,999","Household Income",337,47.4,42.6,52.1,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$35,000-$49,999","Household Income",519,52.6,47.9,57.4,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$50,000+","Household Income",1034,42.5,40,45.1,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$50,000+","Household Income",1417,57.5,54.9,60.1,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","White, non-Hispanic","Race/Ethnicity",1460,36.3,34.5,38.2,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","White, non-Hispanic","Race/Ethnicity",3044,63.7,61.8,65.5,"Crude Prevalence"
2013,"Georgia","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Black, non-Hispanic","Race/Ethnicity",970,59.3,56.1,62.6,"Crude Prevalence"
