"year","state_name","class_desc","topic_desc","question_text","response_text","strat_value","strat_group","sample_size","prevalence","conf_low","conf_high","value_type"
2023,"Arkansas","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Male","Gender",671,35.21,32.49,37.93,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","25-34","Age Group",220,54.93,49.44,60.42,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","25-34","Age Group",190,45.07,39.58,50.56,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","18-24","Age Group",125,62.81,54.95,70.67,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","18-24","Age Group",76,37.19,29.33,45.05,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","35-44","Age Group",224,50.91,45.54,56.28,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","35-44","Age Group",241,49.09,43.72,54.46,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","45-54","Age Group",260,46.62,41.43,51.81,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","45-54","Age Group",310,53.38,48.19,58.57,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","55-64","Age Group",454,61.85,57.5,66.2,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","55-64","Age Group",286,38.15,33.8,42.5,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","65+","Age Group",1275,82.35,79.98,84.72,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","65+","Age Group",283,17.65,15.28,20.02,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","College graduate","Education Attained",886,62.8,59.7,65.9,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","College graduate","Education Attained",481,37.2,34.1,40.3,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","H.S. or G.E.D.","Education Attained",736,63.32,59.5,67.14,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","H.S. or G.E.D.","Education Attained",363,36.68,32.86,40.5,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Less than H.S.","Education Attained",222,68.57,62.26,74.88,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Less than H.S.","Education Attained",108,31.43,25.12,37.74,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Some post-H.S.","Education Attained",708,56.76,52.92,60.6,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Some post-H.S.","Education Attained",433,43.24,39.4,47.08,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Female","Gender",1572,62.44,59.72,65.16,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Female","Gender",775,37.56,34.84,40.28,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Male","Gender",986,61.25,58.15,64.35,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Male","Gender",611,38.75,35.65,41.85,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$100,000-$199,999","Household Income",390,65.75,60.97,70.53,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$100,000-$199,999","Household Income",209,34.25,29.47,39.03,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$15,000-$24,999","Household Income",175,52.51,44.94,60.08,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$15,000-$24,999","Household Income",128,47.49,39.92,55.06,"Crude Prevalence"
2023,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$200,000+","Household Income",109,57.82,48.31,67.33,"Crude Prevalence"
