"year","state_name","class_desc","topic_desc","question_text","response_text","strat_value","strat_group","sample_size","prevalence","conf_low","conf_high","value_type"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Overall","Overall",1700,44.4,42.3,46.6,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Overall","Overall",2403,55.6,53.4,57.8,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","18-24","Age Group",95,37.7,30.8,44.7,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","18-24","Age Group",149,62.3,55.3,69.3,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","25-34","Age Group",267,57,51.2,62.8,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","25-34","Age Group",181,43,37.2,48.9,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","35-44","Age Group",378,58.2,53.1,63.4,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","35-44","Age Group",231,41.8,36.6,46.9,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","45-54","Age Group",428,43.4,39.4,47.4,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","45-54","Age Group",514,56.6,52.6,60.6,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","55-64","Age Group",411,27.3,24.3,30.3,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","55-64","Age Group",1006,72.7,69.7,75.7,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","65+","Age Group",266,12.3,10.5,14.1,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","65+","Age Group",1869,87.8,86,89.6,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Overall","Overall",1845,38.5,36.6,40.3,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Overall","Overall",3950,61.6,59.7,63.4,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Less than H.S.","Education Attained",207,37.5,31.9,43.2,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Less than H.S.","Education Attained",471,62.5,56.8,68.1,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","H.S. or G.E.D.","Education Attained",527,36.3,33,39.6,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","H.S. or G.E.D.","Education Attained",1321,63.7,60.4,67,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Some post-H.S.","Education Attained",584,40.4,37.2,43.7,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Some post-H.S.","Education Attained",1101,59.6,56.3,62.9,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","College graduate","Education Attained",527,39.6,36.3,42.9,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","College graduate","Education Attained",1046,60.4,57.1,63.7,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Less than $15,000","Household Income",352,56.1,50.7,61.5,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Less than $15,000","Household Income",443,43.9,38.6,49.3,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$15,000-$24,999","Household Income",359,42.8,38,47.6,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$15,000-$24,999","Household Income",660,57.2,52.4,62,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$25,000-$34,999","Household Income",153,35.6,29.2,42,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$25,000-$34,999","Household Income",396,64.4,58,70.8,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$35,000-$49,999","Household Income",190,35,29.9,40.1,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$35,000-$49,999","Household Income",435,65,59.9,70.1,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$50,000+","Household Income",550,38.3,35.1,41.5,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$50,000+","Household Income",1103,61.7,58.5,65,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","White, non-Hispanic","Race/Ethnicity",1042,30.8,28.8,32.8,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","White, non-Hispanic","Race/Ethnicity",3102,69.3,67.3,71.3,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Black, non-Hispanic","Race/Ethnicity",683,57.5,53.7,61.3,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Black, non-Hispanic","Race/Ethnicity",704,42.5,38.7,46.3,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Hispanic","Race/Ethnicity",27,48.1,31.2,65,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Hispanic","Race/Ethnicity",27,51.9,35,68.8,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Other, non-Hispanic","Race/Ethnicity",50,35.5,22,49.1,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Other, non-Hispanic","Race/Ethnicity",59,64.5,50.9,78.1,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Male","Gender",660,37,34,40,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Male","Gender",1287,63,60,66,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Female","Gender",1185,39.8,37.5,42,"Crude Prevalence"
2013,"Alabama","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Female","Gender",2663,60.3,58,62.5,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","18-24","Age Group",104,31.1,24.9,37.3,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","18-24","Age Group",207,68.9,62.7,75.1,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","25-34","Age Group",343,61.5,56.1,66.8,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","25-34","Age Group",234,38.6,33.2,43.9,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","35-44","Age Group",406,63.3,58.1,68.5,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","35-44","Age Group",249,36.7,31.5,42,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","45-54","Age Group",395,48.9,44.1,53.7,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","45-54","Age Group",407,51.1,46.3,56,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","55-64","Age Group",347,36.5,31.9,41.1,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","55-64","Age Group",626,63.5,58.9,68.1,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","65+","Age Group",105,13.3,9.9,16.7,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","65+","Age Group",680,86.7,83.3,90.1,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Less than H.S.","Education Attained",82,39.1,29.9,48.2,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Less than H.S.","Education Attained",144,60.9,51.8,70.1,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","H.S. or G.E.D.","Education Attained",433,42,38.1,46,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","H.S. or G.E.D.","Education Attained",706,58,54,61.9,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Some post-H.S.","Education Attained",533,46.6,42.8,50.5,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Some post-H.S.","Education Attained",682,53.4,49.5,57.2,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","College graduate","Education Attained",648,45.8,42.3,49.3,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","College graduate","Education Attained",868,54.2,50.7,57.7,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Less than $15,000","Household Income",154,51.9,43.7,60.2,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Less than $15,000","Household Income",184,48.1,39.9,56.3,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$15,000-$24,999","Household Income",213,48.8,42,55.6,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$15,000-$24,999","Household Income",265,51.2,44.4,58,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$25,000-$34,999","Household Income",120,40.1,32.5,47.6,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$25,000-$34,999","Household Income",207,59.9,52.4,67.5,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$35,000-$49,999","Household Income",191,41.8,35.4,48.2,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$35,000-$49,999","Household Income",284,58.2,51.8,64.6,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$50,000+","Household Income",938,46.1,43.1,49,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$50,000+","Household Income",1225,53.9,51,56.9,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","White, non-Hispanic","Race/Ethnicity",1187,41.5,39.1,43.9,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","White, non-Hispanic","Race/Ethnicity",1826,58.5,56.1,60.9,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Black, non-Hispanic","Race/Ethnicity",38,65.9,50.7,81.1,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Black, non-Hispanic","Race/Ethnicity",22,34.1,18.9,49.4,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Hispanic","Race/Ethnicity",73,61.1,49.4,72.7,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Hispanic","Race/Ethnicity",47,38.9,27.3,50.6,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Other, non-Hispanic","Race/Ethnicity",269,40.2,34.6,45.9,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Other, non-Hispanic","Race/Ethnicity",390,59.8,54.2,65.4,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Multiracial, non-Hispanic","Race/Ethnicity",97,63.2,53,73.5,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Multiracial, non-Hispanic","Race/Ethnicity",71,36.8,26.5,47,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Male","Gender",765,41.9,38.8,45,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Male","Gender",1132,58.1,55.1,61.2,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Female","Gender",935,47.2,44.1,50.3,"Crude Prevalence"
2013,"Alaska","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Female","Gender",1271,52.8,49.7,55.9,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Overall","Overall",2596,63.5,60.7,66.2,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","18-24","Age Group",65,26.2,18.6,33.8,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","18-24","Age Group",151,73.8,66.2,81.5,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","25-34","Age Group",204,62.5,55,69.9,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","25-34","Age Group",135,37.5,30.1,45,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","35-44","Age Group",207,52.8,44.7,60.8,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","35-44","Age Group",176,47.2,39.2,55.3,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","45-54","Age Group",251,43.9,37.2,50.6,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","45-54","Age Group",310,56.1,49.4,62.8,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","55-64","Age Group",235,25.5,20.8,30.2,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","55-64","Age Group",577,74.5,69.8,79.2,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","65+","Age Group",155,10.4,7.7,13.1,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","65+","Age Group",1247,89.6,86.9,92.3,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Overall","Overall",1117,36.6,33.8,39.3,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Less than H.S.","Education Attained",86,35,25.3,44.7,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Less than H.S.","Education Attained",238,65,55.4,74.7,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","H.S. or G.E.D.","Education Attained",244,32.3,26.8,37.7,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","H.S. or G.E.D.","Education Attained",728,67.8,62.3,73.2,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Some post-H.S.","Education Attained",363,38.4,33.7,43.1,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Some post-H.S.","Education Attained",769,61.6,56.9,66.4,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","College graduate","Education Attained",423,39.7,35.5,44,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","College graduate","Education Attained",847,60.3,56.1,64.5,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","Less than $15,000","Household Income",166,35.6,27,44.1,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","Less than $15,000","Household Income",269,64.5,55.9,73,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","Yes","$15,000-$24,999","Household Income",184,38.8,31.2,46.3,"Crude Prevalence"
2013,"Arizona","HIV-AIDS","HIV Test","Have you ever been tested for HIV?","No","$15,000-$24,999","Household Income",437,61.2,53.7,68.8,"Crude Prevalence"
